entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,exposure
2008-10-31,2008-11-30,long,SP500_VIX_sized,100.0,88.42,-0.1158,monthly_rebalance,1.5
2008-11-30,2008-12-31,long,SP500_VIX_sized,100.0,102.655,0.02655,monthly_rebalance,1.5
2008-12-31,2009-01-31,long,SP500_VIX_sized,100.0,87.865,-0.12135,monthly_rebalance,1.5
2009-01-31,2009-02-28,long,SP500_VIX_sized,100.0,84.8,-0.152,monthly_rebalance,1.5
2009-02-28,2009-03-31,long,SP500_VIX_sized,100.0,113.535,0.13535,monthly_rebalance,1.5
2009-03-31,2009-04-30,long,SP500_VIX_sized,100.0,115.265,0.15265,monthly_rebalance,1.5
2009-04-30,2009-05-31,long,SP500_VIX_sized,100.0,107.8,0.078,monthly_rebalance,1.5
2009-05-31,2009-06-30,long,SP500_VIX_sized,100.0,100.64,0.0064,monthly_rebalance,1.5
2009-06-30,2009-07-31,long,SP500_VIX_sized,100.0,111.62,0.1162,monthly_rebalance,1.5
2009-07-31,2009-08-31,long,SP500_VIX_sized,100.0,105.005,0.05005,monthly_rebalance,1.5
2009-08-31,2009-09-30,long,SP500_VIX_sized,100.0,106.13,0.0613,monthly_rebalance,1.5
2009-09-30,2009-10-31,long,SP500_VIX_sized,100.0,96.175,-0.03825,monthly_rebalance,1.5
2009-10-31,2009-11-30,long,SP500_VIX_sized,100.0,108.37,0.0837,monthly_rebalance,1.5
2009-11-30,2009-12-31,long,SP500_VIX_sized,100.0,102.75,0.0275,monthly_rebalance,1.0
2009-12-31,2010-01-31,long,SP500_VIX_sized,100.0,96.65,-0.0335,monthly_rebalance,1.0
2010-01-31,2010-02-28,long,SP500_VIX_sized,100.0,103.39,0.0339,monthly_rebalance,1.0
2010-02-28,2010-03-31,long,SP500_VIX_sized,100.0,106.31,0.0631,monthly_rebalance,1.0
2010-03-31,2010-04-30,long,SP500_VIX_sized,100.0,102.01,0.0201,monthly_rebalance,1.0
2010-04-30,2010-05-31,long,SP500_VIX_sized,100.0,92.11,-0.0789,monthly_rebalance,1.0
2010-05-31,2010-06-30,long,SP500_VIX_sized,100.0,91.655,-0.08345,monthly_rebalance,1.5
2010-06-30,2010-07-31,long,SP500_VIX_sized,100.0,110.39,0.1039,monthly_rebalance,1.5
2010-07-31,2010-08-31,long,SP500_VIX_sized,100.0,95.24,-0.0476,monthly_rebalance,1.0
2010-08-31,2010-09-30,long,SP500_VIX_sized,100.0,114.335,0.14335,monthly_rebalance,1.5
2010-09-30,2010-10-31,long,SP500_VIX_sized,100.0,103.88,0.0388,monthly_rebalance,1.0
2010-10-31,2010-11-30,long,SP500_VIX_sized,100.0,100.6,0.006,monthly_rebalance,1.0
2010-11-30,2010-12-31,long,SP500_VIX_sized,100.0,106.83,0.0683,monthly_rebalance,1.0
2010-12-31,2011-01-31,long,SP500_VIX_sized,100.0,101.99,0.0199,monthly_rebalance,1.0
2011-01-31,2011-02-28,long,SP500_VIX_sized,100.0,103.49,0.0349,monthly_rebalance,1.0
2011-02-28,2011-03-31,long,SP500_VIX_sized,100.0,100.47,0.0047,monthly_rebalance,1.0
2011-03-31,2011-04-30,long,SP500_VIX_sized,100.0,102.9,0.029,monthly_rebalance,1.0
